DATE, DAY, HOLIDAYS
26.01.2024, Friday, Republic Day
08.03.2024, Friday, Mahashivratri
25.03.2024 to 30.03.2024, Monday to Saturday, Holi Vacation
29.03.2024, Friday, Good Friday
09.04.2024, Tuesday, Gudi Padwa
11.04.2024, Thursday, Eid-Ul-Fitr
17.04.2024, Wednesday, Ram Navmi
17.06.2024, Monday, Eid-ul-Adha (Bakrid)
17.07.2024, Wednesday, Moharram
15.08.2024, Thursday, Independence Day
19.08.2024, Monday, Raksha Bandhan
26.08.2024, Monday, Krishna Janmashtami
07.09.2024, Saturday, Ganesh Chaturthi
02.10.2024, Wednesday, Gandhi Jayanti
12.10.2024, Saturday, Dussehra
30.10.2024 to 05.11.2024, Wednesday to Tuesday, Diwali Vacation
15.11.2024, Friday, Guru Nanak Jayanti
25.12.2024, Wednesday, Christmas Day
13.9.2024, Friday, Ahilya Divas (Half Day)
18.9.2024, Wednesday, Next Day of Anant Chaturdashi
13.10.2024, Sunday, Next Day of Dussehra